"country","continent","year","lifeExp","pop","gdpPercap","infant_mortality","fertility"
"Burkina Faso","Africa",2002,50.65,12251209,1037.645221,93.4,6.47
"Burkina Faso","Africa",2007,52.295,14326203,1217.032994,79.2,6.12
"Burundi","Africa",1952,39.031,2445618,339.2964587,NA,NA
"Burundi","Africa",1957,40.533,2667518,379.5646281,NA,NA
"Burundi","Africa",1962,42.045,2961915,355.2032273,144.6,7.05
"Burundi","Africa",1967,43.548,3330989,412.9775136,145.3,7.25
"Burundi","Africa",1972,44.057,3529983,464.0995039,146.2,7.35
"Burundi","Africa",1977,45.91,3834415,556.1032651,143,7.45
"Burundi","Africa",1982,47.471,4580410,559.603231,120.3,7.45
"Burundi","Africa",1987,48.211,5126023,621.8188189,103.3,7.57
"Burundi","Africa",1992,44.736,5809236,631.6998778,104.8,7.47
"Burundi","Africa",1997,45.326,6121610,463.1151478,100,7.22
"Burundi","Africa",2002,47.36,7021078,446.4035126,88.6,6.94
"Burundi","Africa",2007,49.58,8390505,430.0706916,72.7,6.57
"Cambodia","Asia",1952,39.417,4693836,368.4692856,NA,NA
"Cambodia","Asia",1957,41.366,5322536,434.0383364,NA,NA
"Cambodia","Asia",1962,43.415,6083619,496.9136476,NA,6.96
"Cambodia","Asia",1967,45.415,6960067,523.4323142,NA,6.75
"Cambodia","Asia",1972,40.317,7450606,421.6240257,NA,6.17
"Cambodia","Asia",1977,31.22,6978607,524.9721832,155.4,5.44
"Cambodia","Asia",1982,50.957,7272485,624.4754784,98.1,6.01
"Cambodia","Asia",1987,53.914,8371791,683.8955732,86,6.07
"Cambodia","Asia",1992,55.803,10150094,682.3031755,85.7,5.24
"Cambodia","Asia",1997,56.534,11782962,734.28517,88.2,4.24
"Cambodia","Asia",2002,56.752,12926707,896.2260153,68.3,3.5
"Cambodia","Asia",2007,59.723,14131858,1713.778686,46.5,3.1
"Cameroon","Africa",1952,38.523,5009067,1172.667655,NA,NA
"Cameroon","Africa",1957,40.428,5359923,1313.048099,NA,NA
"Cameroon","Africa",1962,42.643,5793633,1399.607441,160.5,5.77
"Cameroon","Africa",1967,44.799,6335506,1508.453148,143.1,6.06
"Cameroon","Africa",1972,47.049,7021028,1684.146528,118.2,6.29
"Cameroon","Africa",1977,49.355,7959865,1783.432873,113.9,6.47
"Cameroon","Africa",1982,52.961,9250831,2367.983282,103.1,6.68
"Cameroon","Africa",1987,54.985,10780667,2602.664206,87.2,6.63
"Cameroon","Africa",1992,54.314,12467171,1793.163278,88.2,6.26
"Cameroon","Africa",1997,52.199,14195809,1694.337469,94.7,5.82
"Cameroon","Africa",2002,49.856,15929988,1934.011449,86.2,5.52
"Cameroon","Africa",2007,50.43,17696293,2042.09524,73.1,5.24
"Canada","Americas",1952,68.75,14785584,11367.16112,NA,NA
"Canada","Americas",1957,69.96,17010154,12489.95006,NA,NA
"Canada","Americas",1962,71.3,18985849,13462.48555,26,3.77
"Canada","Americas",1967,72.13,20819767,16076.58803,21.2,2.6
"Canada","Americas",1972,72.88,22284500,18970.57086,16.7,1.97
"Canada","Americas",1977,74.21,23796400,22090.88306,12.5,1.75
"Canada","Americas",1982,75.76,25201900,22898.79214,9.2,1.64
"Canada","Americas",1987,76.86,26549700,26626.51503,7.5,1.58
"Canada","Americas",1992,77.95,28523502,26342.88426,6.4,1.71
"Canada","Americas",1997,78.61,30305843,28954.92589,5.4,1.57
"Canada","Americas",2002,79.77,31902268,33328.96507,5.3,1.51
"Canada","Americas",2007,80.653,33390141,36319.23501,5.1,1.66
"Central African Republic","Africa",1952,35.463,1291695,1071.310713,NA,NA
"Central African Republic","Africa",1957,37.464,1392284,1190.844328,NA,NA
"Central African Republic","Africa",1962,39.475,1523478,1193.068753,160.4,5.89
"Central African Republic","Africa",1967,41.478,1733638,1136.056615,145.6,5.95
"Central African Republic","Africa",1972,43.457,1927260,1070.013275,132.1,5.95
"Central African Republic","Africa",1977,46.775,2167533,1109.374338,122.6,5.95
"Central African Republic","Africa",1982,48.295,2476971,956.7529907,116.7,5.96
"Central African Republic","Africa",1987,50.485,2840009,844.8763504,115.5,5.9
"Central African Republic","Africa",1992,49.396,3265124,747.9055252,115.1,5.69
"Central African Republic","Africa",1997,46.066,3696513,740.5063317,115.1,5.55
"Central African Republic","Africa",2002,43.308,4048013,738.6906068,112.1,5.33
"Central African Republic","Africa",2007,44.741,4369038,706.016537,106.9,4.9
"Chad","Africa",1952,38.092,2682462,1178.665927,NA,NA
"Chad","Africa",1957,39.881,2894855,1308.495577,NA,NA
"Chad","Africa",1962,41.716,3150417,1389.817618,NA,6.29
"Chad","Africa",1967,43.601,3495967,1196.810565,NA,6.39
"Chad","Africa",1972,45.569,3899068,1104.103987,131.8,6.64
"Chad","Africa",1977,47.383,4388260,1133.98495,128.8,6.86
"Chad","Africa",1982,49.517,4875118,797.9081006,124.8,7.02
"Chad","Africa",1987,51.051,5498955,952.386129,119.3,7.2
"Chad","Africa",1992,51.724,6429417,1058.0643,113.7,7.38
"Chad","Africa",1997,51.573,7562011,1004.961353,109.1,7.42
"Chad","Africa",2002,50.525,8835739,1156.18186,103.4,7.27
"Chad","Africa",2007,50.651,10238807,1704.063724,98.1,6.9
"Chile","Americas",1952,54.745,6377619,3939.978789,NA,NA
"Chile","Americas",1957,56.074,7048426,4315.622723,NA,NA
"Chile","Americas",1962,57.924,7961258,4519.094331,116.7,5.46
"Chile","Americas",1967,60.523,8858908,5106.654313,79,4.59
"Chile","Americas",1972,63.441,9717524,5494.024437,65.7,3.68
"Chile","Americas",1977,67.052,10599793,4756.763836,41.7,2.89
"Chile","Americas",1982,70.565,11487112,5095.665738,22.9,2.65
"Chile","Americas",1987,72.492,12463354,5547.063754,18.4,2.65
"Chile","Americas",1992,74.126,13572994,7596.125964,13.7,2.56
"Chile","Americas",1997,75.816,14599929,10118.05318,10.2,2.25
"Chile","Americas",2002,77.86,15497046,10778.78385,8.3,2.01
"Chile","Americas",2007,78.553,16284741,13171.63885,7.6,1.9
"China","Asia",1952,44,556263527,400.448611,NA,NA
"China","Asia",1957,50.54896,637408000,575.9870009,NA,NA
"China","Asia",1962,44.50136,665770000,487.6740183,110,5.97
"China","Asia",1967,58.38112,754550000,612.7056934,NA,5.25
"China","Asia",1972,63.11888,862030000,676.9000921,73.3,4.92
"China","Asia",1977,63.96736,943455000,741.2374699,55.8,2.87
"China","Asia",1982,65.525,1000281000,962.4213805,44.6,2.62
"China","Asia",1987,67.274,1084035000,1378.904018,42,2.68
"China","Asia",1992,68.69,1164970000,1655.784158,41.2,2.11
"China","Asia",1997,70.426,1230075000,2289.234136,35,1.52
"China","Asia",2002,72.028,1280400000,3119.280896,26.2,1.47
"China","Asia",2007,72.961,1318683096,4959.114854,17.2,1.53
"Colombia","Americas",1952,50.643,12350771,2144.115096,NA,NA
"Colombia","Americas",1957,55.118,14485993,2323.805581,NA,NA
"Colombia","Americas",1962,57.863,17009885,2492.351109,85.9,6.78
"Colombia","Americas",1967,59.963,19764027,2678.729839,77.1,6.25
"Colombia","Americas",1972,61.623,22542890,3264.660041,65.9,5.15
"Colombia","Americas",1977,63.837,25094412,3815.80787,52.8,4.37
"Colombia","Americas",1982,66.653,27764644,4397.575659,39.7,3.74
"Colombia","Americas",1987,67.768,30964245,4903.2191,31.5,3.28
"Colombia","Americas",1992,68.421,34202721,5444.648617,27.4,3.01
"Colombia","Americas",1997,70.313,37657830,6117.361746,23.4,2.78
"Colombia","Americas",2002,71.682,41008227,5755.259962,20,2.57
"Colombia","Americas",2007,72.889,44227550,7006.580419,17.3,2.45
"Comoros","Africa",1952,40.715,153936,1102.990936,NA,NA
"Comoros","Africa",1957,42.46,170928,1211.148548,NA,NA
"Comoros","Africa",1962,44.467,191689,1406.648278,NA,6.9
"Comoros","Africa",1967,46.472,217378,1876.029643,NA,7.04
"Comoros","Africa",1972,48.944,250027,1937.577675,145.1,7.06
"Comoros","Africa",1977,50.939,304739,1172.603047,129.6,7.08
"Comoros","Africa",1982,52.933,348643,1267.100083,111.9,7.03
"Comoros","Africa",1987,54.926,395114,1315.980812,95.8,6.14
"Comoros","Africa",1992,57.939,454429,1246.90737,82.9,5.36
"Comoros","Africa",1997,60.66,527982,1173.618235,74.5,5.27
"Comoros","Africa",2002,62.974,614382,1075.811558,72.5,5.3
"Comoros","Africa",2007,65.152,710960,986.1478792,67.9,5.11
"Congo, Dem. Rep.","Africa",1952,39.143,14100005,780.5423257,NA,NA
"Congo, Dem. Rep.","Africa",1957,40.652,15577932,905.8602303,NA,NA
"Congo, Dem. Rep.","Africa",1962,42.122,17486434,896.3146335,NA,6.03
"Congo, Dem. Rep.","Africa",1967,44.056,19941073,861.5932424,NA,6.14
"Congo, Dem. Rep.","Africa",1972,45.989,23007669,904.8960685,145.9,6.27
"Congo, Dem. Rep.","Africa",1977,47.804,26480870,795.757282,137.1,6.44
"Congo, Dem. Rep.","Africa",1982,47.784,30646495,673.7478181,129,6.69
"Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.774812,122.9,6.96
"Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807,117.7,7.22
"Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423,112.5,7.23
"Congo, Dem. Rep.","Africa",2002,44.966,55379852,241.1658765,103.1,6.96
"Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5518587,91.5,6.55
"Congo, Rep.","Africa",1952,42.111,854885,2125.621418,NA,NA
"Congo, Rep.","Africa",1957,45.053,940458,2315.056572,NA,NA
"Congo, Rep.","Africa",1962,48.435,1047924,2464.783157,106.1,5.97
"Congo, Rep.","Africa",1967,52.04,1179760,2677.939642,94.9,6.17
"Congo, Rep.","Africa",1972,54.907,1340458,3213.152683,84.4,6.3
"Congo, Rep.","Africa",1977,55.625,1536769,3259.178978,76,6.3
"Congo, Rep.","Africa",1982,56.695,1774735,4879.507522,68,6.04
"Congo, Rep.","Africa",1987,57.47,2064095,4201.194937,60.9,5.59
"Congo, Rep.","Africa",1992,56.433,2409073,4016.239529,63,5.24
"Congo, Rep.","Africa",1997,52.962,2800947,3484.164376,73.5,5.14
"Congo, Rep.","Africa",2002,52.97,3328795,3484.06197,73.3,5.13
"Congo, Rep.","Africa",2007,55.322,3800610,3632.557798,53.1,5.11
"Costa Rica","Americas",1952,57.206,926317,2627.009471,NA,NA
"Costa Rica","Americas",1957,60.026,1112300,2990.010802,NA,NA
"Costa Rica","Americas",1962,62.842,1345187,3460.937025,80.64,7.22
"Costa Rica","Americas",1967,65.424,1588717,4161.727834,64.6,6
"Costa Rica","Americas",1972,67.849,1834796,5118.146939,52.5,4.49
"Costa Rica","Americas",1977,70.75,2108457,5926.876967,28.1,3.78
"Costa Rica","Americas",1982,73.45,2424367,5262.734751,19.2,3.54
"Costa Rica","Americas",1987,74.752,2799811,5629.915318,16.3,3.38
"Costa Rica","Americas",1992,75.713,3173216,6160.416317,13.7,3
"Costa Rica","Americas",1997,77.26,3518107,6677.045314,12.7,2.62
"Costa Rica","Americas",2002,78.123,3834934,7723.447195,10,2.28
"Costa Rica","Americas",2007,78.782,4133884,9645.06142,8.9,1.95
"Cote d'Ivoire","Africa",1952,40.477,2977019,1388.594732,NA,NA
"Cote d'Ivoire","Africa",1957,42.469,3300000,1500.895925,NA,NA
"Cote d'Ivoire","Africa",1962,44.93,3832408,1728.869428,197.7,7.5
"Cote d'Ivoire","Africa",1967,47.35,4744870,2052.050473,174.2,7.81
"Cote d'Ivoire","Africa",1972,49.801,6071696,2378.201111,151.3,7.94
"Cote d'Ivoire","Africa",1977,52.374,7459574,2517.736547,124.7,7.84
"Cote d'Ivoire","Africa",1982,53.983,9025951,2602.710169,109.5,7.38
"Cote d'Ivoire","Africa",1987,54.655,10761098,2156.956069,105.2,6.75
"Cote d'Ivoire","Africa",1992,52.044,12772596,1648.073791,104.7,6.11
"Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407,103.3,5.63
"Cote d'Ivoire","Africa",2002,46.832,16252726,1648.800823,95.7,5.21
"Cote d'Ivoire","Africa",2007,48.328,18013409,1544.750112,84.1,4.93
"Croatia","Europe",1952,61.21,3882229,3119.23652,NA,NA
"Croatia","Europe",1957,64.77,3991242,4338.231617,NA,NA
"Croatia","Europe",1962,67.13,4076557,5477.890018,NA,2.27
"Croatia","Europe",1967,68.5,4174366,6960.297861,NA,2.1
"Croatia","Europe",1972,69.61,4225310,9164.090127,NA,1.98
"Croatia","Europe",1977,70.64,4318673,11305.38517,NA,2.01
"Croatia","Europe",1982,70.46,4413368,13221.82184,18.4,1.98
"Croatia","Europe",1987,71.52,4484310,13822.58394,13.8,1.84
"Croatia","Europe",1992,72.527,4494013,8447.794873,9.9,1.57
"Croatia","Europe",1997,73.68,4444595,9875.604515,8,1.51
"Croatia","Europe",2002,74.876,4481020,11628.38895,6.6,1.39
"Croatia","Europe",2007,75.748,4493312,14619.22272,5.3,1.41
"Cuba","Americas",1952,59.421,6007797,5586.53878,NA,NA
"Cuba","Americas",1957,62.325,6640752,6092.174359,NA,NA
"Cuba","Americas",1962,65.246,7254373,5180.75591,NA,4.51
"Cuba","Americas",1967,68.29,8139332,5690.268015,39.3,4.43
"Cuba","Americas",1972,70.723,8831348,5305.445256,30.9,3.65
"Cuba","Americas",1977,72.649,9537988,6380.494966,20.8,2.33
"Cuba","Americas",1982,73.717,9789224,7316.918107,16.3,1.83
"Cuba","Americas",1987,74.174,10239839,7532.924763,13.3,1.83
"Cuba","Americas",1992,74.414,10723260,5592.843963,9.3,1.68
"Cuba","Americas",1997,76.151,10983007,5431.990415,7.8,1.61
